iter,tree-constructor,tree-loop
0,542,490
1,522,701
2,566,569
3,655,464
4,468,602
5,638,626
6,621,608
7,552,450
8,411,488
9,472,454
10,496,415
11,410,417
12,521,631
13,549,419
14,456,731
15,501,428
16,416,410
17,427,558
18,663,501
19,451,438
20,426,426
21,398,410
22,341,349
23,353,396
24,384,357
25,346,353
26,363,363
27,340,345
28,352,358
29,386,382
30,398,374
31,373,395
32,386,420
33,398,379
34,346,351
35,338,393
36,334,336
37,337,337
38,344,339
39,343,337
40,335,336
41,357,348
42,348,340
43,345,333
44,342,339
45,342,349
46,336,344
47,341,333
48,331,339
49,344,351
50,340,351
51,336,335
52,338,346
53,362,342
54,333,395
55,333,335
56,350,357
57,343,344
58,358,353
59,389,418
60,386,353
61,341,333
62,333,384
63,377,449
64,424,419
65,438,456
66,369,362
67,365,367
68,366,354
69,372,413
70,361,356
71,351,378
72,363,334
73,354,352
74,339,336
75,352,363
76,363,350
77,374,365
78,344,344
79,338,355
80,370,403
81,425,346
82,347,364
83,393,370
84,350,346
85,375,381
86,374,375
87,368,400
88,380,496
89,534,415
90,396,404
91,415,391
92,396,391
93,380,338
94,369,370
95,400,349
96,345,382
97,425,350
98,390,380
99,373,365
